County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Alameda,2020-04-05,475,12,72,87,39,13
Alpine,2020-04-05,1,0,,,,
Amador,2020-04-05,2,0,0,0,0,0
Butte,2020-04-05,10,0,2,16,1,6
Calaveras,2020-04-05,3,0,0,0,0,0
Colusa,2020-04-05,1,0,1,0,1,0
Contra Costa,2020-04-05,415,6,29,35,15,10
Del Norte,2020-04-05,1,0,0,1,0,0
El Dorado,2020-04-05,19,0,16,6,0,3
Fresno,2020-04-05,102,1,16,81,8,15
Glenn,2020-04-05,2,0,0,0,0,0
Humboldt,2020-04-05,29,0,2,3,0,0
Imperial,2020-04-05,42,1,9,9,8,1
Inyo,2020-04-05,10,0,9,106,1,0
Kern,2020-04-05,109,2,23,27,12,4
Kings,2020-04-05,4,0,3,1,2,0
Lake,2020-04-05,0,0,0,4,0,2
Lassen,2020-04-05,0,0,0,0,0,0
Los Angeles,2020-04-05,5892,130,1094,1082,473,166
Madera,2020-04-05,27,2,0,1,0,0
Marin,2020-04-05,113,6,5,15,3,5
Mariposa,2020-04-05,0,0,0,2,0,0
Mendocino,2020-04-05,4,0,0,3,0,2
Merced,2020-04-05,16,0,15,10,1,3
Modoc,2020-04-05,0,0,0,0,0,0
Mono,2020-04-05,18,1,20,2,0,0
Monterey,2020-04-05,61,2,16,15,4,0
Napa,2020-04-05,15,2,1,8,0,1
Nevada,2020-04-05,19,1,2,4,2,1
Orange,2020-04-05,820,15,144,221,70,46
Placer,2020-04-05,86,3,23,13,10,1
Plumas,2020-04-05,2,0,0,0,0,0
Riverside,2020-04-05,669,17,129,207,47,60
Sacramento,2020-04-05,393,11,64,78,23,26
San Benito,2020-04-05,22,1,3,0,2,0
San Bernardino,2020-04-05,375,13,146,240,59,54
San Diego,2020-04-05,1328,19,179,220,89,31
San Francisco,2020-04-05,559,6,79,68,37,11
San Joaquin,2020-04-05,179,10,46,24,17,4
San Luis Obispo,2020-04-05,83,1,2,11,2,9
San Mateo,2020-04-05,528,19,69,15,24,6
Santa Barbara,2020-04-05,171,1,31,26,18,2
Santa Clara,2020-04-05,1052,42,166,69,68,18
Santa Cruz,2020-04-05,59,1,5,12,4,4
Shasta,2020-04-05,11,2,8,11,4,0
Sierra,2020-04-05,0,0,,,,
Siskiyou,2020-04-05,3,0,0,2,0,2
Solano,2020-04-05,78,1,15,17,6,24
Sonoma,2020-04-05,88,1,6,21,2,6
Stanislaus,2020-04-05,51,0,30,25,14,5
Sutter,2020-04-05,14,1,0,0,0,0
Tehama,2020-04-05,1,0,0,1,0,0
Trinity,2020-04-05,0,0,0,0,0,0
Tulare,2020-04-05,81,4,4,20,8,2
Tuolumne,2020-04-05,1,0,0,0,0,0
Unassigned,2020-04-05,52,1,,,,
Ventura,2020-04-05,196,6,21,128,7,28
Yolo,2020-04-05,37,2,3,6,3,3
Yuba,2020-04-05,7,0,1,14,1,1
